district_id,district_name,region,hab_number,city_number,ave_salary,umemploy_rate,crime_number
1,Hl.m. Praha,Prague,1204953,1,12541,0.43,99107
2,Benesov,central Bohemia,88884,5,8507,1.85,2674
3,Beroun,central Bohemia,75232,5,8980,2.21,2813
4,Kladno,central Bohemia,149893,6,9753,5.05,5892
5,Kolin,central Bohemia,95616,6,9307,4.43,3040
6,Kutna Hora,central Bohemia,77963,4,8546,4.02,3120
7,Melnik,central Bohemia,94725,6,9920,2.87,4846
8,Mlada Boleslav,central Bohemia,112065,8,11277,1.44,4987
9,Nymburk,central Bohemia,81344,6,8899,3.97,2487
10,Praha - vychod,central Bohemia,92084,5,10124,0.54,4316
11,Praha - zapad,central Bohemia,75637,7,9622,0.59,3529
12,Pribram,central Bohemia,107870,6,8754,4.31,3868
13,Rakovnik,central Bohemia,53921,2,8598,3.26,1875
14,Ceske Budejovice,south Bohemia,177686,9,10045,1.71,6295
15,Cesky Krumlov,south Bohemia,58796,5,9045,3.6,1879
16,Jindrichuv Hradec,south Bohemia,93931,8,8427,1.54,1913
17,Pelhrimov,south Bohemia,74062,7,8114,2.62,1181
18,Pisek,south Bohemia,70699,4,8968,3.35,1910
19,Prachatice,south Bohemia,51428,4,8402,3.98,1099
20,Strakonice,south Bohemia,70646,4,8547,3.64,1542
21,Tabor,south Bohemia,103347,7,9104,2.07,2354
22,Domazlice,west Bohemia,58400,6,8620,1.25,1117
23,Cheb,west Bohemia,87419,9,8624,2.66,3198
24,Karlovy Vary,west Bohemia,122603,8,8991,2.01,5273
25,Klatovy,west Bohemia,88757,10,8554,2.68,2218
26,Plzen - mesto,west Bohemia,170449,1,10787,3.09,6261
27,Plzen - jih,west Bohemia,67298,7,8561,1.29,1127
28,Plzen - sever,west Bohemia,72541,8,8594,2.01,1525
29,Rokycany,west Bohemia,45714,6,8843,3.6,888
30,Sokolov,west Bohemia,94812,10,9650,3.67,2804
31,Tachov,west Bohemia,51313,4,8930,4.2,1452
32,Ceska Lipa,north Bohemia,105058,10,9272,3.22,4505
33,Decin,north Bohemia,133777,11,8705,7.61,4859
34,Chomutov,north Bohemia,125236,5,9675,7.679999999999999,5190
35,Jablonec n. Nisou,north Bohemia,88768,7,8867,1.21,3620
36,Liberec,north Bohemia,159617,9,9198,4.28,6132
37,Litomerice,north Bohemia,114006,9,9065,5.39,4166
38,Louny,north Bohemia,85852,4,8965,8.23,2822
39,Most,north Bohemia,119895,4,10446,9.4,4743
40,Teplice,north Bohemia,128118,8,9317,7.07,6872
41,Usti nad Labem,north Bohemia,118650,3,9832,4.48,5471
42,Havlickuv Brod,east Bohemia,95907,7,8388,2.94,1668
43,Hradec Kralove,east Bohemia,161854,6,9425,2.5,3891
44,Chrudim,east Bohemia,105606,7,8254,3.76,2325
45,Jicin,east Bohemia,77917,5,8390,2.89,2122
46,Nachod,east Bohemia,112709,10,8369,2.31,2618
47,Pardubice,east Bohemia,162580,6,9538,1.81,5410
48,Rychnov nad Kneznou,east Bohemia,78955,9,9060,2.44,1717
49,Semily,east Bohemia,75685,9,8208,2.26,2123
50,Svitavy,east Bohemia,102609,6,8187,5.45,2134
51,Trutnov,east Bohemia,121947,11,8541,2.97,3839
52,Usti nad Orlici,east Bohemia,139012,10,8363,3.49,2799
53,Blansko,south Moravia,107911,7,8240,3.56,1903
54,Brno - mesto,south Moravia,387570,1,9897,1.96,18696
55,Brno - venkov,south Moravia,157042,9,8743,2.43,3894
56,Breclav,south Moravia,124605,8,8772,4.98,3158
57,Hodonin,south Moravia,161954,8,8720,4.5,3651
58,Jihlava,south Moravia,109164,4,8757,3.95,2471
59,Kromeriz,south Moravia,108871,6,8444,3.47,2305
60,Prostejov,south Moravia,110643,4,8441,4.48,2252
61,Trebic,south Moravia,117897,6,8814,5.74,2059
62,Uherske Hradiste,south Moravia,145688,5,8544,1.86,2906
63,Vyskov,south Moravia,86513,5,8288,4.52,1460
64,Zlin,south Moravia,197099,10,9624,2.31,4265
65,Znojmo,south Moravia,114200,4,8403,5.72,2718
66,Zdar nad Sazavou,south Moravia,125832,5,8512,4.12,2103
67,Bruntal,north Moravia,106054,6,8110,6.55,3079
68,Frydek - Mistek,north Moravia,228848,6,9893,4.72,5887
69,Jesenik,north Moravia,42821,3,8173,7.01,1358
70,Karvina,north Moravia,285387,7,10177,7.75,10108
71,Novy Jicin,north Moravia,161227,10,8678,5.57,4595
72,Olomouc,north Moravia,226122,4,8994,4.79,9208
73,Opava,north Moravia,182027,7,8746,3.74,4433
74,Ostrava - mesto,north Moravia,323870,1,10673,5.44,18347
75,Prerov,north Moravia,138032,5,8819,5.66,4505
76,Sumperk,north Moravia,127369,7,8369,5.88,2807
77,Vsetin,north Moravia,148545,4,8909,5.56,3590
